episode_id,original_sequence,corrupted_sequence,is_corrupted,corruption_level
ep_0,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_1,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_2,"[""e2"", ""e5"", ""e3"", ""e11"", ""e12""]","[""e2"", ""e5"", ""e3"", ""e11"", ""e12""]",False,none
ep_3,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_4,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e17"", ""e5"", ""e11"", ""e8"", ""e2"", ""e20""]",True,medium
ep_5,"[""e2"", ""e5"", ""e3"", ""e11"", ""e12""]","[""e2"", ""e5"", ""e3"", ""e11"", ""e12""]",False,none
ep_6,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_7,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_8,"[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_9,"[""e2"", ""e5"", ""e3"", ""e11"", ""e12""]","[""e2"", ""e5"", ""e3"", ""e11"", ""e12""]",False,none
ep_10,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_11,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_12,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_13,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_14,"[""e1"", ""e2"", ""e5"", ""e11"", ""e12""]","[""e1"", ""e2"", ""e5"", ""e11"", ""e12""]",False,none
ep_15,"[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_16,"[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_17,"[""e1"", ""e8"", ""e2"", ""e8"", ""e5"", ""e11"", ""e12""]","[""e1"", ""e8"", ""e2"", ""e8"", ""e5"", ""e11"", ""e12""]",False,none
ep_18,"[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e6"", ""e8"", ""e6"", ""e8"", ""e21"", ""e5"", ""e6"", ""e9""]",True,medium
ep_19,"[""e2"", ""e5"", ""e3"", ""e11"", ""e12""]","[""e2"", ""e5"", ""e3"", ""e11"", ""e12""]",False,none
ep_20,"[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_21,"[""e2"", ""e1"", ""e5"", ""e8"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e8"", ""e6"", ""e9""]",False,none
