episode_id,sequence
ep_94,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_95,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_96,"['e2', 'e5', 'e1', 'e6', 'e9']"
ep_97,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_98,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_99,"['e1', 'e2', 'e8', 'e5', 'e6', 'e9']"
ep_100,"['e2', 'e5', 'e1', 'e6', 'e9']"
ep_101,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_102,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_103,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_104,"['e2', 'e5', 'e1', 'e8', 'e11', 'e12']"
ep_105,"['e1', 'e8', 'e2', 'e8', 'e5', 'e8', 'e6', 'e9']"
ep_106,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_107,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_108,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_109,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_110,"['e2', 'e1', 'e8', 'e5', 'e11', 'e12']"
ep_111,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_112,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_113,"['e2', 'e5', 'e1', 'e6', 'e9']"
ep_114,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_115,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_116,"['e1', 'e2', 'e8', 'e5', 'e11', 'e12']"
ep_117,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_118,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_119,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_120,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_121,"['e1', 'e2', 'e8', 'e5', 'e8', 'e6', 'e9']"
ep_122,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_123,"['e2', 'e5', 'e1', 'e6', 'e9']"
ep_124,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_125,"['e1', 'e2', 'e5', 'e10']"
ep_126,"['e2', 'e5', 'e1', 'e8', 'e10']"
ep_127,"['e1', 'e2', 'e10']"
ep_128,"['e2', 'e5', 'e1', 'e10']"
ep_129,"['e1', 'e8', 'e2', 'e10']"
ep_130,"['e2', 'e1', 'e8', 'e10']"
ep_131,"['e2', 'e5', 'e3', 'e10']"
ep_132,"['e2', 'e1', 'e10']"
ep_133,"['e1', 'e8', 'e2', 'e10']"
ep_134,"['e2', 'e5', 'e1', 'e10']"
ep_135,"['e2', 'e1', 'e10']"
ep_136,"['e2', 'e1', 'e5', 'e10']"
ep_137,"['e2', 'e1', 'e8', 'e5', 'e8', 'e10']"
ep_138,"['e1', 'e8', 'e4', 'e10']"
ep_139,"['e2', 'e5', 'e3', 'e10']"
ep_140,"['e1', 'e8', 'e4', 'e10']"
ep_141,"['e1', 'e2', 'e8', 'e5', 'e10']"
ep_142,"['e1', 'e8', 'e2', 'e5', 'e10']"
ep_143,"['e2', 'e5', 'e3', 'e10']"
ep_144,"['e2', 'e5', 'e1', 'e10']"
ep_145,"['e2', 'e5', 'e1', 'e10']"
ep_146,"['e2', 'e5', 'e1', 'e10']"
ep_147,"['e1', 'e4', 'e10']"
ep_148,"['e2', 'e5', 'e1', 'e10']"
ep_149,"['e3', 'e4', 'e10']"
ep_150,"['e1', 'e2', 'e8', 'e5', 'e10']"
ep_151,"['e2', 'e1', 'e8', 'e5', 'e10']"
ep_152,"['e1', 'e8', 'e2', 'e10']"
ep_153,"['e3', 'e4', 'e10']"
ep_154,"['e2', 'e5', 'e3', 'e10']"
ep_155,"['e1', 'e8', 'e4', 'e10']"
ep_156,"['e3', 'e4', 'e10']"
ep_157,"['e2', 'e5', 'e3', 'e10']"
ep_158,"['e2', 'e1', 'e8', 'e5', 'e10']"
ep_159,"['e2', 'e3', 'e10']"
ep_160,"['e2', 'e3', 'e10']"
ep_161,"['e1', 'e8', 'e4', 'e10']"
ep_162,"['e2', 'e5', 'e1', 'e10']"
ep_163,"['e2', 'e5', 'e1', 'e10']"
ep_164,"['e2', 'e5', 'e3', 'e10']"
ep_165,"['e2', 'e5', 'e1', 'e10']"
ep_166,"['e1', 'e2', 'e10']"
ep_167,"['e1', 'e8', 'e2', 'e8', 'e10']"
ep_168,"['e2', 'e5', 'e3', 'e10']"
ep_169,"['e2', 'e5', 'e1', 'e10']"
ep_170,"['e2', 'e5', 'e3', 'e10']"
ep_171,"['e2', 'e5', 'e3', 'e10']"
ep_172,"['e1', 'e8', 'e4', 'e10']"
ep_173,"['e1', 'e8', 'e2', 'e10']"
ep_174,"['e2', 'e1', 'e10']"
ep_175,"['e2', 'e5', 'e1', 'e10']"
ep_176,"['e1', 'e8', 'e2', 'e10']"
ep_177,"['e2', 'e5', 'e1', 'e10']"
ep_178,"['e2', 'e5', 'e3', 'e10']"
ep_179,"['e1', 'e2', 'e10']"
ep_180,"['e2', 'e5', 'e3', 'e10']"
